                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0551,                0.85849,                 1.2769,                0.63428,                0.63869,                0.69716,                0.30611,                 1.8564,                 2.5205,                 2.3025,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.1148,                0.87977,                 1.2996,                0.65266,                0.80741,                0.71904,                0.35197,                  1.797,                 2.3492,                 2.1905,               0.000948,               0.000948,               0.000948
                     37,                 1.0135,                0.78998,                 1.2069,                0.66086,                 0.6734,                0.71007,                0.39467,                 1.6151,                 1.9992,                 1.9995,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.0363,                0.83921,                 1.2606,                0.58938,                0.78519,                0.74491,                0.43928,                 1.5074,                 1.3784,                 1.8923,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1074,                0.83825,                 1.3107,                0.52824,                0.81071,                0.73564,                0.42396,                 1.4548,                 1.3948,                 1.8389,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.0593,                0.81895,                  1.268,                0.63376,                0.79349,                0.75014,                0.42294,                 1.4844,                 1.4138,                 1.8098,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.0096,                0.81202,                 1.2406,                 0.6946,                0.79933,                0.74367,                 0.4088,                 1.4781,                 1.3951,                 1.8393,             0.00087726,             0.00087726,             0.00087726
                     42,                0.97687,                0.76777,                 1.1986,                0.72576,                0.67974,                0.68542,                0.38955,                 1.4668,                 1.3876,                  1.813,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.0632,                0.83245,                 1.2727,                0.68235,                0.68015,                0.70921,                 0.3915,                 1.4852,                 1.3681,                  1.813,             0.00084897,             0.00084897,             0.00084897
                     44,                0.96621,                  0.723,                 1.2059,                0.78019,                0.75964,                0.80183,                0.42983,                 1.5215,                 1.1936,                 1.8168,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.0425,                0.70496,                 1.2615,                0.77685,                0.76064,                0.77183,                0.41218,                 1.5868,                 1.1749,                 1.8357,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.0554,                0.72785,                 1.2168,                0.83716,                0.74871,                0.74453,                0.40742,                 1.5862,                 1.3034,                 1.9136,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.0595,                0.68629,                  1.249,                0.64244,                0.68415,                0.68342,                0.36724,                 1.6251,                 1.5642,                 1.9334,             0.00079238,             0.00079238,             0.00079238
                     48,                0.99699,                0.81523,                 1.2318,                0.60496,                0.69027,                0.65064,                 0.3299,                 1.6977,                 1.9136,                  1.956,             0.00077823,             0.00077823,             0.00077823
                     49,                 0.9977,                0.82989,                 1.2269,                0.63871,                0.77778,                0.70366,                0.35855,                 1.6564,                 1.7881,                 1.9263,             0.00076409,             0.00076409,             0.00076409
                     50,                0.99706,                0.67643,                 1.2056,                0.63896,                0.83815,                 0.7648,                0.41959,                  1.532,                 1.4969,                 1.8893,             0.00074994,             0.00074994,             0.00074994
                     51,                0.91916,                0.70713,                 1.1485,                0.66671,                0.83732,                 0.7721,                0.41492,                  1.425,                 1.2235,                 1.8344,             0.00073579,             0.00073579,             0.00073579
                     52,                0.97227,                0.73221,                 1.2332,                0.59978,                0.74007,                0.69793,                0.40272,                 1.4312,                 1.2058,                 1.8275,             0.00072164,             0.00072164,             0.00072164
                     53,                0.97324,                0.76282,                 1.2413,                0.73137,                0.75782,                 0.6873,                0.43235,                 1.3835,                  1.328,                  1.763,              0.0007075,              0.0007075,              0.0007075
                     54,                0.91438,                0.67653,                 1.1796,                0.68055,                0.72828,                0.68147,                0.41725,                 1.4072,                 1.2783,                 1.7514,             0.00069335,             0.00069335,             0.00069335
                     55,                0.99578,                0.79181,                 1.2413,                 0.7439,                0.66397,                0.67508,                0.40291,                 1.4848,                 1.2814,                 1.8245,              0.0006792,              0.0006792,              0.0006792
                     56,                0.89132,                0.69858,                  1.147,                0.67165,                0.66091,                 0.6648,                0.38368,                 1.5374,                  1.313,                 1.9007,             0.00066506,             0.00066506,             0.00066506
                     57,                0.89077,                0.69983,                 1.1555,                0.79534,                 0.7165,                0.73456,                 0.3829,                 1.5193,                  1.217,                 1.9256,             0.00065091,             0.00065091,             0.00065091
                     58,                0.93715,                0.65388,                 1.1503,                0.83475,                 0.7468,                0.75891,                 0.4275,                 1.4987,                 1.2595,                 1.8967,             0.00063676,             0.00063676,             0.00063676
                     59,                0.94575,                0.68281,                  1.163,                0.78943,                0.74163,                0.74502,                0.43321,                 1.4333,                 1.3192,                 1.8296,             0.00062262,             0.00062262,             0.00062262
                     60,                 0.9527,                 0.6657,                 1.1905,                0.70946,                0.78352,                0.74565,                0.41521,                 1.3899,                 1.3176,                 1.7826,             0.00060847,             0.00060847,             0.00060847
                     61,                 0.8298,                0.61053,                 1.1081,                0.80875,                0.73046,                0.71383,                0.40164,                 1.3863,                 1.2874,                 1.8344,             0.00059432,             0.00059432,             0.00059432
                     62,                0.86436,                0.62386,                 1.1839,                0.78419,                0.65267,                0.65488,                0.39726,                 1.3989,                 1.2996,                 1.8557,             0.00058017,             0.00058017,             0.00058017
